replication,SCRAM
1,V018800008S14080438150013
1,V019730068M31040435000013
1,V015030002S30320170030012
1,V016240001S53410248330012
1,V011730068M31040970770013
1,V015730068M31040133850012
1,V019340001S93410757730012
1,V013030068M31040825310011
1,V019620001S97210610230013
1,V017100004S91040624710012
1,V019310005S30150490080013
1,V016330068M31040140250013
1,V019230068M31040664040012
1,V019530008S51380642700011
1,V014920000S55200228610011
1,V011030068M31040057900013
1,V010430068M31040583210011
1,V010730000S18300214860013
1,V011830068M31040163470013
1,V016200004S52040398820013
1,V016930068M31040569260011
1,V014940000S13401406270011
1,V016430068M12040720290012
1,V014230068M31040984540013
1,V018130068M31040620400013
1,V019230008S39380159950012
1,V013300004S72040054030013
1,V018530068M31040415920013
1,V010930068M31040970670012
1,V015130068M31040009100011
1,V014000004S30040587000012
1,V016200004S91040725510012
1,V010430068M31040667820012
1,V016430068M31040001180011
1,V019030068M31040063110012
1,V017330068M31040729380012
1,V013730068M31040016310012
1,V011330068M31040994260013
1,V017730068M31040378470012
1,V015830068M31040999120013
1,V010830068M31040797870012
1,V010430068M31040249680012
1,V018830068M31040713170011
1,V011200004S91040598610012
1,V012130068M12040126190011
1,V011430068M12040673390011
1,V010430068M31040629650011
1,V011630068M12040766090011
1,V017510062M98130670430012
1,V017350000S32500877060011
1,V017030068M31040724870011
1,V015510109M79483358860013
1,V013130068M31040471700011
1,V017510986M11171626870012
1,V014230068M31040764570012
1,V010100004S91040387910111
1,V018330068M31040276780013
1,V012000004S72040269920011
1,V014930068M31040106480011
1,V016300004S30040253000011
1,V019930068M12040334190012
1,V018250006S91560978420013
1,V018130068M31040834940011
1,V012000004S71040687800012
1,V012740006S30461070750011
1,V011230068M12040412590013
1,V018630068M31040813170012
1,V011330068M31040757910012
1,V015030068M31040645500012
1,V010600004S91040639210013
1,V013030068M31040627140012
1,V013800004S91040785910013
1,V013330068M31040572680011
1,V016300004S91040635510012
1,V019400005S13050000120013
1,V017000005S39050074350011
1,V019300005S15050808230013
1,V011900005S70050973900011
1,V013200005S35050598530013
1,V018400005S53050805420011
1,V013600005S34051982290013
1,V017900005S34051767190013
1,V016300005S34051508980013
1,V014100005S15050043230013
1,V017600005S34050452620011
1,V013200005S34051603190011
1,V016100005S91051885170012
1,V018000005S50050587100013
1,V015300005S13051424280012
1,V016100005S70050666010011
1,V018200005S54050621820011
1,V014800005S70050590500011
1,V018500005S91051306370011
1,V010400005S34050435620012
1,V015200005S70050950600012
1,V017700005S51051439950013
1,V018000005S54051032790013
1,V013500005S13050054020012
1,V016100005S91051259760012
1,V010200005S52051752970013
1,V011200005S91051294760011
1,V018300005S70050036300013
1,V010500005S91051209270012
1,V019800005S70050385500013
1,V010200005S51050009210013
1,V019800005S33050538220012
1,V015100005S13051433380013
1,V016100005S11051360750013
1,V010300005S91051568270011
1,V016300005S33050025220012
1,V019600005S34051460090011
1,V016120426M10482309260012
1,V016700005S38050811740013
1,V015400005S53051141580011
1,V011700005S54050793920013
1,V013000005S13051621380012
1,V013200005S70050876700011
1,V015000005S14050850620013
1,V019500005S50050288100011
1,V013900005S12051540570013
1,V016100005S91050123410012
1,V011400005S14050437520013
1,V016200005S91051423470012
1,V014900005S34051055090011
1,V015800005S90050765110012
1,V013400005S94050863130013
1,V018100005S52051233670013
1,V019500005S91051487270011
1,V015300005S91051524270012
1,V015600005S19050465150013
1,V016800005S91051427060011
1,V012850006S54560974370013
1,V012800005S98050483050012
1,V012130000S13300686620011
1,V013800005S92050967710013
1,V017100005S54051133590013
1,V017300005S70050660800012
1,V014740662M35530433360011
1,V017100005S70050679800013
1,V014900005S34051954190011
1,V013800005S13051712380013
1,V019600005S19050688150011
1,V018400005S51050916310012
1,V012900005S54050593030012
1,V019300005S93051934680013
1,V016340007S75471918470012
1,V019040001S15410636860012
1,V017000005S90050576110012
1,V012100005S12051548470011
1,V018700005S33050717220011
1,V016400005S91051414370011
1,V015900005S13051513480013
1,V015300005S53051231580011
1,V017200005S12050013510011
1,V012800005S19050472150011
1,V012100005S70050350300012
1,V018650004S16540076060011
1,V012200005S34050776620011
1,V010200005S13050362910013
1,V015700005S91051972470012
1,V017900005S34051211880012
1,V011400005S91051398360012
1,V016640861M31060813340011
1,V019030081M73060134200011
1,V012240140M56060831900013
1,V014130081M73060357420013
1,V010510829M36261731370013
1,V014730081M73060785620011
1,V017240000S34401839190013
1,V012740140M56060632800011
1,V012300006S76060941410011
1,V016240140M17060354970011
1,V016340861M10060685010012
1,V015840009S53490663130011
1,V013540140M17060293770011
1,V018340140M56060193250012
1,V015940861M10060055010012
1,V010440140M56060560820013
1,V015030081M95060362090012
1,V012830081M73060588170012
1,V014230000S36300918750013
1,V010040861M18060583680113
1,V018230001S57311995590011
1,V011400006S37060942220011
1,V019440140M56060356050011
1,V010230081M95060512670013
1,V011340861M10060095510012
1,V011440140M56060066250011
1,V013540662M33530132310011
1,V012830081M73060008210012
1,V014940140M17060835760012
1,V018640861M10060136200013
1,V010730081M73060540820011
1,V014240140M56060059250013
1,V013140140M17060291980012
1,V015300006S37060680610013
1,V012840008S98481144020012
1,V015740861M57060423280011
1,V012530002S32320239870012
1,V010700006S58060945820011
1,V012740861M31060428430013
1,V019420007S94270597620012
1,V019630081M73060012520011
1,V016640140M17060178580012
1,V016730001S55310630020012
1,V019930081M73060918930013
1,V012510464M71250782120012
1,V015120002S71220649900011
1,V019040861M10060928010012
1,V018220008S12281895970012
1,V015040907M10110097940012
1,V012140140M56060274520012
1,V017730081M73060676810011
1,V018940861M10060656220013
1,V016040861M10060935020011
1,V017640140M56060104140011
1,V015630002S30320223860013
1,V015730081M95060176680011
1,V018340861M10060758900012
1,V012130081M95060825490011
1,V014600006S11061690140012
1,V019830081M73060887960012
1,V019040140M56060643330011
1,V019100006S58060395030012
1,V018130081M73060055010012
1,V011330002S30320493320013
1,V018040140M56060743230011
1,V013830081M73060332920011
1,V019240009S53490358930011
1,V010940009S94490041970013
1,V012130081M95060754580012
1,V012510000S10100989300012
1,V011540140M17060507270013
1,V014630081M73060332030012
1,V016440861M10060121510011
1,V018440001S30410792100011
1,V012240140M17060863650011
1,V014340140M56060196500013
1,V012110005S30150205840011
1,V010140140M56060200800011
1,V014240140M56060904800013
1,V012840662M33530320520013
1,V010900006S11061483040011
1,V016430081M95060459480013
1,V019840140M17060597980012
1,V017210464M71250234030013
1,V014040009S94490115860013
1,V010030081M73060955200113
1,V017740140M56060286840011
1,V019440861M31060095330012
1,V019200006S39060958330011
1,V013930081M73060581070013
1,V016740001S74410216650012
1,V010840662M16530901290013
1,V015640140M17060294850011
1,V011340005S70450966700011
1,V014040861M10060056720012
1,V012500006S38060156720013
1,V016240861M31060568740013
1,V010040662M33530773840112
1,V014440140M17060376580012
1,V015600006S58060180820011
1,V010040861M31060062740111
1,V010040861M57060126370111
1,V018430081M95060604290013
1,V012800006S76060259410013
1,V014430081M73060132060013
1,V013730081M95060396470012
1,V013040140M56060611040013
1,V016400006S76060071210012
1,V018130625M18360826340012
1,V015140140M17060030360013
1,V010740140M56060845310013
1,V010430081M95060573490011
1,V019000006S37060974710011
1,V018840140M17060525170012
1,V013210986M79171713280013
1,V010340861M31060411940011
1,V013220004S30240321500012
1,V016200006S31061941240012
1,V019640140M17060434370013
1,V018840140M56060328800013
1,V014230081M73060436510011
1,V017640140M56060878600012
1,V017030081M73060083100013
1,V015440140M56060424920013
1,V015200006S91060395200011
1,V019040140M56060752410011
1,V010040004S10440908200111
1,V016710006S55160766370012
1,V018230081M73060021540013
1,V018220006S75260848710011
1,V014340861M57060550470013
1,V019630081M73060677900012
1,V017410009S35191552360013
1,V016330081M95060809470011
1,V015030081M95060644870012
1,V019700006S58060992820013
1,V016630081M73060733170013
1,V015400002S02020279120013
1,V016740861M10060224200011
1,V010540140M17060170850013
1,V010640861M31060152840012
1,V019440861M10060448030011
1,V016540140M17060184960011
