replication,method,state,theta_hat,lower,upper
1,MRP,01,0.331352597299674,0.29350710344267106,0.35742715262078245
1,MRP,04,0.3109596044874506,0.2782343781237266,0.3380888465881245
1,MRP,05,0.3190764622223336,0.2824139452880459,0.349255046345041
1,MRP,06,0.33358453615398637,0.3005659719750785,0.3590619206945241
1,MRP,08,0.30999786186428574,0.2770482209494726,0.3388172714884868
1,MRP,09,0.32378204821590445,0.2935116487711019,0.3614187455341572
1,MRP,10,0.32368755975995817,0.29804431721408464,0.3608473149736822
1,MRP,11,0.34599284954896126,0.2984893877687996,0.3788086474136827
1,MRP,12,0.3328620057847344,0.30746234602223754,0.3690395495164788
1,MRP,13,0.34305429796601583,0.31122832893978813,0.3733948125174223
1,MRP,16,0.3054142916030101,0.27418881864982914,0.3375190877188368
1,MRP,17,0.3283112643077505,0.29967879293317556,0.36301494619712404
1,MRP,18,0.3124789096705467,0.2801606913123594,0.34520239001537467
1,MRP,19,0.3004229307560222,0.2698821105793242,0.32898065647623526
1,MRP,20,0.30734835622622764,0.2730185310790311,0.3358665272071991
1,MRP,21,0.32002967980404734,0.2909126387488427,0.35614444595104067
1,MRP,22,0.34236237968062677,0.30533409588685917,0.37433660330690716
1,MRP,23,0.28803032346997015,0.2598278220715886,0.3202916862188228
1,MRP,24,0.33929770543888815,0.30608772334466516,0.37020057045895566
1,MRP,25,0.31145365088336835,0.28392942773140195,0.342858506010403
1,MRP,26,0.3224051794684751,0.2985217984808515,0.3629088750396692
1,MRP,27,0.30361954261256785,0.27851990566331,0.34061858102231224
1,MRP,28,0.35255121213942,0.3164130904474422,0.3871089459973065
1,MRP,29,0.3125845806430694,0.27591072419960505,0.3392771113167558
1,MRP,30,0.28821009015859095,0.2527468318728986,0.31273134440883804
1,MRP,31,0.30945160296348634,0.27991345224237224,0.3423385428960136
1,MRP,32,0.3229355671324797,0.2898665977104844,0.35245504800659355
1,MRP,33,0.2970411597038217,0.2706024512809046,0.33237389005053697
1,MRP,34,0.33490225777201416,0.30906321284083693,0.3703193181914221
1,MRP,35,0.33718458011227115,0.3061618042359344,0.37474084865799095
1,MRP,36,0.3247610662651106,0.2955597030847094,0.35463454282763807
1,MRP,37,0.3346527378609353,0.3042785460743694,0.3649652790349699
1,MRP,38,0.30642875745870285,0.2788807389291465,0.34288224929169564
1,MRP,39,0.3190939549776076,0.291683075246887,0.3500563554507472
1,MRP,40,0.3261184931702509,0.2877019257746041,0.35606391381321617
1,MRP,41,0.29582313945360744,0.26150687661642874,0.32506979261996444
1,MRP,42,0.31474519381212573,0.28754742864914207,0.3464772865757198
1,MRP,44,0.3109944236017978,0.278708674051554,0.3400977618767272
1,MRP,45,0.3223084418842217,0.2919999756281259,0.3554154890700917
1,MRP,46,0.2963770929175049,0.26229100706333,0.3292046132721164
1,MRP,47,0.31923910606520706,0.28166407766600476,0.3515877250157286
1,MRP,48,0.3422538143731353,0.3061602757753709,0.3693976149471675
1,MRP,49,0.3091792852295944,0.27810254476731744,0.3389069737660665
1,MRP,50,0.29002917804133155,0.26019025297390463,0.32108535493904466
1,MRP,51,0.3183992720407489,0.28470101306168477,0.345679241359099
1,MRP,53,0.3116900934830292,0.28480036906654566,0.3414536231803667
1,MRP,54,0.30225255044722205,0.2723869414331053,0.3351865809437072
1,MRP,55,0.30181497239472505,0.27348756967784177,0.33246237991417166
1,MRP,56,0.29655256937454283,0.2628675791469684,0.3260736098247022
2,MRP,01,0.3339744337975982,0.264198377902961,0.4089360588806836
2,MRP,04,0.25962991951107744,0.20005778816091624,0.32074501785494136
2,MRP,05,0.29979227803595826,0.22484057005324243,0.3765614875447525
2,MRP,06,0.364755052589574,0.3174996076146298,0.41147234520051784
2,MRP,08,0.27754079200247056,0.214918848593882,0.336999280657779
2,MRP,09,0.33375646107126383,0.2673168316804298,0.4066513024730671
2,MRP,10,0.287624661631416,0.22858048731828845,0.35522967733780203
2,MRP,11,0.3054145787993879,0.24144973839035164,0.3715104287600347
2,MRP,12,0.3063503750135757,0.25437235492129834,0.35785944748114257
2,MRP,13,0.3149716325748659,0.2560712009249215,0.3764263656783443
2,MRP,16,0.3364266661953107,0.27269662298549957,0.4066679838167712
2,MRP,17,0.33062226132437866,0.2686129136574993,0.39765128074068956
2,MRP,18,0.3120375826999317,0.25392634036103173,0.3751001715233236
2,MRP,19,0.3284491459962457,0.2581486331636853,0.4007957140114045
2,MRP,20,0.3038549945886432,0.23948662498781062,0.3685419199541701
2,MRP,21,0.34909854731047296,0.27886749494987856,0.42941789563664967
2,MRP,22,0.3896938531839093,0.3139577988891423,0.472696754116228
2,MRP,23,0.2921265090295789,0.22872447037958624,0.36072660746395074
2,MRP,24,0.2989482926172617,0.23580998624710447,0.359507109574532
2,MRP,25,0.3350038331283505,0.28194122865633436,0.39576983498066703
2,MRP,26,0.33801053988358504,0.28059625352138523,0.4070247350325424
2,MRP,27,0.2912005311665668,0.2319936697814571,0.35883230079829515
2,MRP,28,0.32490403833511494,0.250897646949425,0.3981760478567726
2,MRP,29,0.29109120476126404,0.22434982156034863,0.35676332226707225
2,MRP,30,0.2767785590159202,0.20990165458466756,0.34577072824038974
2,MRP,31,0.2865252740990615,0.21894605592148403,0.3510750751226559
2,MRP,32,0.34705135303984985,0.27710904703107386,0.426558588349836
2,MRP,33,0.2993819237174241,0.2344748809060574,0.3681302254309463
2,MRP,34,0.39234123116258357,0.3188574989920239,0.4856366230302684
2,MRP,35,0.323663805845924,0.2532641794381097,0.39263039811209915
2,MRP,36,0.31337706719049374,0.2581384795893196,0.3690585514578347
2,MRP,37,0.27489607988204046,0.20498206459120563,0.3430417401727004
2,MRP,38,0.28197459217585474,0.20743918139173217,0.35938729835351874
2,MRP,39,0.32157388071329523,0.2558677552587121,0.3886866136565978
2,MRP,40,0.27368265068969383,0.20057649161839838,0.34160492633147044
2,MRP,41,0.3390335684278215,0.2715143198773162,0.41322685343014215
2,MRP,42,0.35977936096493535,0.2958750639393494,0.4308523892730298
2,MRP,44,0.3343602348227726,0.26602229208761446,0.4173648774884047
2,MRP,45,0.30947738081550125,0.24613360391308756,0.3717044152071026
2,MRP,46,0.2874522132086009,0.21472627954923917,0.36647036931293114
2,MRP,47,0.3332574776728126,0.2674136631470669,0.40995976011251134
2,MRP,48,0.3238336427681903,0.2777224842618135,0.3746382789148688
2,MRP,49,0.23850888102777473,0.17592888950340188,0.2974066185441767
2,MRP,50,0.3398316314576971,0.26857755149754686,0.4257595346038721
2,MRP,51,0.2732805585026219,0.21237369953938234,0.33665261334885954
2,MRP,53,0.302893713276523,0.24705664314712136,0.3569842027523385
2,MRP,54,0.2855795275158193,0.2242131536658687,0.35042655634870457
2,MRP,55,0.30908258220021245,0.24767650348649928,0.3786221712741904
2,MRP,56,0.29049301604576766,0.22072887078892656,0.3660639590326491
3,MRP,01,0.32653443030477775,0.2687570177202321,0.38142833350291605
3,MRP,04,0.3138360564253597,0.2627471558184465,0.36847847742222545
3,MRP,05,0.3117430860155504,0.24989328553542603,0.3615712108328297
3,MRP,06,0.31048711767242054,0.26455935786701723,0.3502499174914596
3,MRP,08,0.33490461946564093,0.28775064155046115,0.3938148641670131
3,MRP,09,0.3423361524840819,0.29274422853934295,0.41236276660009064
3,MRP,10,0.31100681372377464,0.2537395855528537,0.3593798025723559
3,MRP,11,0.3433533142760617,0.28378657586972394,0.39207854838972056
3,MRP,12,0.3282254566738198,0.2838331624713295,0.3772655317188885
3,MRP,13,0.34720137085689284,0.2918510843556429,0.40291728745427985
3,MRP,16,0.3087931691423402,0.2565219040373374,0.36155872031924347
3,MRP,17,0.3661593711993814,0.31524418167045554,0.43728586379251866
3,MRP,18,0.31219740564561926,0.25533819541852587,0.36108877299889264
3,MRP,19,0.3029833391988198,0.24707238742953647,0.35562765849754197
3,MRP,20,0.29206375582652583,0.21913784564727473,0.34195616971072346
3,MRP,21,0.34644463254610647,0.29781636309687587,0.4141161045084923
3,MRP,22,0.35850490588643075,0.3059631803495512,0.4206949368792847
3,MRP,23,0.29224328800161137,0.24167289253168414,0.3420938465230255
3,MRP,24,0.3633813778220671,0.3132395321205192,0.4265119232194072
3,MRP,25,0.3292887054649193,0.2832225060628083,0.3846008888863501
3,MRP,26,0.33157607635766145,0.28916911914921534,0.3832816226660739
3,MRP,27,0.2966655803620419,0.24350420325096883,0.3433014498300858
3,MRP,28,0.3477131551028257,0.2928523779647467,0.4031281237936417
3,MRP,29,0.2983637571149719,0.2270821536103251,0.34637356908833816
3,MRP,30,0.2932422447520767,0.2349080627789995,0.3409521012355414
3,MRP,31,0.32575143777511234,0.27762405004055307,0.38549068628653804
3,MRP,32,0.34757998848034344,0.296870930015708,0.41583955169401476
3,MRP,33,0.32108098608409313,0.274708389308141,0.3839270243076679
3,MRP,34,0.3614658344518502,0.31557555714412255,0.42935901011719213
3,MRP,35,0.33522023388050637,0.2884462056310965,0.38981166500120445
3,MRP,36,0.32859874191114624,0.2777830259564023,0.3829231726899606
3,MRP,37,0.3379539397948568,0.28412005377142524,0.3930013753525054
3,MRP,38,0.29184134949235174,0.2278245676593094,0.3434414971235993
3,MRP,39,0.34148514187470147,0.2946159799147162,0.3993769492255191
3,MRP,40,0.32132510454547925,0.26257872327056975,0.37363284766807825
3,MRP,41,0.3148992914609224,0.2676239814972355,0.36719571931876355
3,MRP,42,0.3265070026894508,0.2840245772824992,0.37110123727038946
3,MRP,44,0.32069465983244405,0.2671008723069245,0.37769307056721996
3,MRP,45,0.3337924660870556,0.2795684381998841,0.39522468360472085
3,MRP,46,0.31250219264060286,0.25586491356098673,0.3734521831346936
3,MRP,47,0.32947589653965254,0.2792896630301809,0.39055439765310646
3,MRP,48,0.3610684185216118,0.32102977537240773,0.4087110506951316
3,MRP,49,0.30062240595685125,0.2493777997711738,0.3454025580404356
3,MRP,50,0.3190894987326482,0.2694731720020802,0.379799917565427
3,MRP,51,0.32622891981750424,0.276350353166996,0.3804478963408618
3,MRP,53,0.3162039043734069,0.27051493754975936,0.3631249128876929
3,MRP,54,0.2979397080422208,0.2369691310473527,0.3518199728945295
3,MRP,55,0.3060592533136376,0.25629567639388395,0.3541781183895925
3,MRP,56,0.3133272282542522,0.2611966734570716,0.3760331762638645
4,MRP,01,0.331875244616943,0.291466665125675,0.3634963051223251
4,MRP,04,0.3140671213150949,0.2823811530905404,0.3466665715428872
4,MRP,05,0.3223259585597568,0.2834190990061114,0.352885615474999
