replication,method,state,theta_hat,lower,upper
1,MRP2,01,0.32673097518751587,0.28400386276285605,0.3618122353170976
1,MRP2,04,0.310137712028581,0.2737283150832138,0.344892683125921
1,MRP2,05,0.31433692262724433,0.26669757168076735,0.3537834782982261
1,MRP2,06,0.3314651663505415,0.2961276959597965,0.35952448573545165
1,MRP2,08,0.3079777723355991,0.2684350708602833,0.344497498395607
1,MRP2,09,0.32441875808788173,0.2882501396068649,0.36766498535156517
1,MRP2,10,0.3270913030135035,0.29245185204677887,0.3728490969041693
1,MRP2,11,0.34237633425947583,0.28861215534005313,0.3799518863025558
1,MRP2,12,0.33697688995452485,0.30495933321181673,0.3813271542252197
1,MRP2,13,0.3438745947679979,0.30744036577194445,0.3786933793113736
1,MRP2,16,0.3086538167271767,0.2718852899418991,0.3514152268939222
1,MRP2,17,0.3345518191535182,0.30144750929591385,0.38345292352011656
1,MRP2,18,0.31324390859850226,0.2749202886404987,0.3542856965638393
1,MRP2,19,0.2992628146850027,0.25727953281148025,0.34032589098504074
1,MRP2,20,0.30276041567672773,0.260607601347026,0.3415204579924563
1,MRP2,21,0.32342250499838715,0.28606574523626316,0.3675503064998972
1,MRP2,22,0.3403378388908692,0.2978304215407743,0.3804583139939485
1,MRP2,23,0.29177074908828,0.2535367985363211,0.3434400685800782
1,MRP2,24,0.33877618517108093,0.30354087987592665,0.37422444450483777
1,MRP2,25,0.3121428071859568,0.27786743120972296,0.3489440227087824
1,MRP2,26,0.324622246136231,0.2913315684935202,0.3669200692463503
1,MRP2,27,0.3063061371310551,0.26878708516839184,0.3530372713919345
1,MRP2,28,0.3544942114244919,0.3113741693514823,0.3984123895053376
1,MRP2,29,0.30942407736067823,0.26323552719659393,0.3469984021237661
1,MRP2,30,0.28207068670245156,0.23528816712415832,0.31685489582659565
1,MRP2,31,0.3095553692825835,0.27076897998202437,0.3501846698994942
1,MRP2,32,0.3218161871264248,0.2840537582254272,0.35996808499929084
1,MRP2,33,0.30019950279632773,0.2657268892570641,0.34304096454987026
1,MRP2,34,0.3376816584855421,0.30634617582250906,0.381627758937986
1,MRP2,35,0.33932927645182354,0.30323272022181574,0.3829544550201058
1,MRP2,36,0.32452473603356985,0.289084061490126,0.35995479273064857
1,MRP2,37,0.339496708316436,0.3040881842192734,0.3824069116030963
1,MRP2,38,0.3087585094619533,0.26955880617863726,0.35572130839868965
1,MRP2,39,0.3189215637603771,0.2824414653369851,0.3630920391821535
1,MRP2,40,0.3226406090819308,0.2817176011797742,0.3602467301274823
1,MRP2,41,0.2904671854011804,0.2470909235712457,0.3223169859778241
1,MRP2,42,0.31938393866156056,0.28774412712844355,0.3572557053864705
1,MRP2,44,0.30908536333811143,0.2670453178604659,0.34375709302342555
1,MRP2,45,0.32295172404472805,0.28761473377164426,0.3612642883228415
1,MRP2,46,0.2967223187705293,0.25632541470275344,0.33630514719006915
1,MRP2,47,0.3155032865399088,0.27327631577766526,0.35208548272283163
1,MRP2,48,0.34213547476315986,0.30363931774287867,0.37274013934331535
1,MRP2,49,0.3074021899134529,0.267207826421334,0.34492700865932435
1,MRP2,50,0.2881527021115162,0.24749717263872048,0.3299188136821834
1,MRP2,51,0.31393512678948604,0.27324204055524975,0.34471738406846303
1,MRP2,53,0.31368596073232224,0.2832906624866931,0.3484340029298644
1,MRP2,54,0.3001577984947217,0.2603929258729577,0.33827652312838513
1,MRP2,55,0.30087387853686426,0.25664595664212436,0.3404917603010836
1,MRP2,56,0.2969864929147313,0.25548024457190355,0.34178478921664474
2,MRP2,01,0.3334847095027963,0.2657798954770371,0.4079380166428423
2,MRP2,04,0.26427230836356785,0.2042937801806459,0.32591506666539843
2,MRP2,05,0.29615420747262294,0.22308930160995996,0.36776511869236495
2,MRP2,06,0.36259853356726074,0.31762210415301595,0.40675033668604027
2,MRP2,08,0.27769733651672845,0.21650205392800628,0.3375145716336617
2,MRP2,09,0.3350538560751751,0.26776886304468983,0.41261362794494616
2,MRP2,10,0.2868183693136161,0.2252041456408896,0.3491079336813928
2,MRP2,11,0.3083604769304045,0.24275386154608652,0.36945771965294955
2,MRP2,12,0.3068265425224836,0.2576870555929865,0.3598336930603176
2,MRP2,13,0.3205006090301536,0.26498179507119657,0.3788846028473762
2,MRP2,16,0.3438522956811653,0.2743944751605086,0.41834930171955725
2,MRP2,17,0.3294253094015868,0.26795541099560255,0.39023512964510465
2,MRP2,18,0.31031498997273854,0.24376815104388191,0.37742285999005726
2,MRP2,19,0.3322640415027794,0.2632446266281036,0.4126312348832689
2,MRP2,20,0.30146038882732956,0.23426206745918807,0.3715300504147069
2,MRP2,21,0.3471891224714665,0.27836699439609525,0.4325318393249111
2,MRP2,22,0.38677705940792817,0.3159211258308924,0.4729490316638561
2,MRP2,23,0.29422322775158455,0.22922251514019368,0.3665771775328846
2,MRP2,24,0.3050519044324322,0.2442239092169261,0.3674772714909673
2,MRP2,25,0.3335789003396219,0.2784644648022794,0.3954714321494773
2,MRP2,26,0.33651826254827016,0.27735468610751834,0.4005075354045235
2,MRP2,27,0.28093798240794676,0.22146644511896965,0.3446757449543397
2,MRP2,28,0.3257802104858507,0.2532386251284577,0.4041426530347515
2,MRP2,29,0.2896947340333466,0.22478168651646965,0.36042498994993016
2,MRP2,30,0.2730791384547832,0.20798534110056466,0.34403581303203784
2,MRP2,31,0.2861948981855666,0.2202808535491726,0.35156468761796417
2,MRP2,32,0.3412016857132205,0.2725085223925528,0.41636183613817407
2,MRP2,33,0.30848907002376597,0.24084166532277768,0.3810026753840693
2,MRP2,34,0.39586621648551923,0.3182770172865824,0.4818993074969012
2,MRP2,35,0.3217349956792392,0.26235779246835667,0.38879183968686765
2,MRP2,36,0.31503767681986217,0.25934322304184365,0.3709872474227844
2,MRP2,37,0.2808673298585363,0.211075814664439,0.3492766543878097
2,MRP2,38,0.28214996255261504,0.20662788701166093,0.36261880926320006
2,MRP2,39,0.32205976404872205,0.260409035744519,0.3946546039847791
2,MRP2,40,0.2814909085502374,0.20939466405075427,0.3588086764022934
2,MRP2,41,0.3320785435991851,0.2664909977157938,0.4016420948625411
2,MRP2,42,0.3635892613373253,0.30169679795682036,0.43132069736346995
2,MRP2,44,0.3438488412484409,0.26752133379517795,0.4262764532380856
2,MRP2,45,0.2979677912872606,0.23503743695394283,0.3655607371461155
2,MRP2,46,0.28740692025102477,0.2062730151764046,0.3653344227504279
2,MRP2,47,0.3359685820580983,0.2659117402200093,0.41088613559480985
2,MRP2,48,0.32791435108460487,0.28075250165933,0.3789077576288402
2,MRP2,49,0.2280299124783459,0.1644187104117542,0.29252606233820183
2,MRP2,50,0.3525985564640752,0.27695315189015146,0.43799127673789284
2,MRP2,51,0.2697460020172012,0.21107311642136004,0.32924813714159806
2,MRP2,53,0.30636587281109906,0.2534608685830142,0.3600589947022131
2,MRP2,54,0.2773200854616267,0.209620086705763,0.3489407926631273
