method,state,mse,rmse,bias,squared_bias,coverage,theta_hat_mean,theta_true,n_state_sample_mean,state_abbr,error_mean
HT,36,0.0038426951906068802,0.06198947645049827,-0.0058183936734849395,3.385370493964957e-5,NA,0.4375315293958465,0.4433499230693314,168,NY,-0.005818393673484912
HT,37,0.006245534325223306,0.07902869305020364,0.0014046115296229484,1.972933549149719e-6,NA,0.3217139467309574,0.3203093352013344,139,NC,0.0014046115296229567
HT,38,0.002796311435628392,0.05288016107793538,-0.02441370028894244,5.960287617983081e-4,NA,0.286860590240103,0.3112742905290455,77,ND,-0.024413700288942464
HT,39,0.003041384726821538,0.055148750908987396,-0.039695792326402884,0.0015757559284209062,NA,0.2994392560513046,0.33913504837770747,128,OH,-0.03969579232640286
HT,40,0.007524381272371792,0.08674319150441602,-0.01723154781336491,2.96926240044281e-4,NA,0.3168231027515696,0.3340546505649345,98,OK,-0.01723154781336489
HT,41,0.0057503909512376375,0.07583133225282039,-0.00811331744142615,6.582591990534976e-5,NA,0.36607263879177665,0.3741859562332028,163,OR,-0.008113317441426127
HT,42,0.0050754768518095125,0.07124238100884552,-0.005309244808749841,2.8188080439237135e-5,NA,0.37872969800085343,0.38403894280960327,182,PA,-0.005309244808749836
HT,44,0.004648740679925297,0.06818167407687564,-0.03481816140833562,0.001212304363856912,NA,0.3387185604300408,0.3735367218383764,89,RI,-0.0348181614083356
HT,45,0.006103825401198319,0.0781269825425142,-0.021104782739886717,4.4541185449782026e-4,NA,0.3436396994630735,0.3647444822029602,122,SC,-0.021104782739886696
HT,46,0.006662675942390773,0.0816252163390136,0.023360511293897206,5.457134879122989e-4,NA,0.3776432541134583,0.35428274281956107,65,SD,0.023360511293897213
HT,47,0.0020432749576300767,0.04520259901410622,0.0028529707274616567,8.139441971753095e-6,NA,0.3564378462376863,0.35358487551022466,119,TN,0.0028529707274616567
HT,48,0.003927982355170547,0.06267361769652799,5.356930103328883e-4,2.869670013195119e-7,NA,0.4126528023514602,0.4121171093411273,344,TX,5.35693010332905e-4
HT,49,0.002638378569241218,0.05136514936453722,0.004344229784179213,1.8872332417749768e-5,NA,0.2912804435294464,0.2869362137452672,187,UT,0.004344229784179199
HT,50,0.00804395967935118,0.08968812451685663,-0.02170282859804512,4.7101276915612517e-4,NA,0.3655850208116387,0.3872878494096838,104,VT,-0.02170282859804512
HT,51,0.0018822645539759506,0.04338507293961773,0.0021300634613845514,4.537170349525536e-6,NA,0.321880779566305,0.31975071610492045,188,VA,0.002130063461384557
HT,53,0.0034733984795726485,0.058935545128323434,0.016422171929906654,2.696877308954141e-4,NA,0.3902106908802759,0.37378851895036924,252,WA,0.016422171929906637
HT,54,0.006476900420429624,0.0804791924687967,0.003089538130150363,9.545245857653e-6,NA,0.30421236696240145,0.3011228288322511,93,WV,0.0030895381301503377
HT,55,0.0032087531736278486,0.05664585751516035,0.030096462776019718,9.057970716283405e-4,NA,0.36395757521894817,0.33386111244292843,121,WI,0.03009646277601974
HT,56,0.007026243187252475,0.08382268897650848,0.001017306850650948,1.0349132283813503e-6,NA,0.3169733495300525,0.3159560426794016,76,WY,0.0010173068506509342
NSB,01,0.0019702136760773583,0.04438708906965356,-0.00967118159793981,9.35317535003296e-5,0.9,0.35579773949531446,0.3654689210932543,98,AL,-0.009671181597939837
NSB,04,0.001159166019908241,0.03404652728118157,0.02011222773383602,4.0450170441768275e-4,0.9,0.37430967743948945,0.3541974497056534,190,AZ,0.02011222773383603
NSB,05,0.0019444261820762243,0.04409564810813221,0.007179191622596862,5.154079235396496e-5,0.9,0.3187965170330733,0.3116173254104765,88,AR,0.007179191622596837
NSB,06,0.0010615513226844325,0.03258145673054587,-0.013215202364475181,1.7464157353403042e-4,0.7,0.4304244780262265,0.4436396803907017,473,CA,-0.013215202364475154
NSB,08,6.791131461409924e-4,0.0260597994263385,-0.006320278603092699,3.9945921620711406e-5,1,0.33804152249218755,0.34436180109528025,175,CO,-0.006320278603092699
NSB,09,0.0026442655540147362,0.05142242267741511,0.0013473895942130664,1.8154587185936517e-6,0.8,0.40745348840072904,0.406106098806516,103,CT,0.0013473895942130443
NSB,10,5.344501693345612e-4,0.023118178330797632,-0.004119445489126028,1.696983113788078e-5,1,0.3580199852960452,0.3621394307851712,125,DE,-0.004119445489126017
