method,mse,rmse,squared_bias,coverage,rmse_reduction
HT,0.004524820543442178,0.06726678633205378,3.705398212865933e-4,NA,0
NSB,0.00190238589718832,0.04361634896673861,5.315350403366713e-4,0.8510204081632653,0.35159160493512875
SB,0.001817884152981703,0.042636652694386115,4.414328228981044e-4,0.8612244897959184,0.36615594382767447
MRP,0.001900512455094547,0.04359486730217844,5.253175941543082e-4,0.8591836734693877,0.3519109551781169
MRP2,0.0022656552003377352,0.04759889915048178,4.079933780012867e-4,0.8653061224489796,0.2923863061405078
MRP3,0.0018724299253928662,0.04327158334742174,5.430219961614798e-4,0.8591836734693877,0.35671695190227803
