replication,method,state,theta_hat,lower,upper
1,MRP6,01,0.32675377316252,0.2808221150906276,0.360374436366048
1,MRP6,04,0.30889650841069843,0.27326882178559186,0.3440415499349446
1,MRP6,05,0.3135345334020382,0.27187983012597516,0.34855443383939233
1,MRP6,06,0.33161503283664784,0.2977111697606687,0.3612755870794064
1,MRP6,08,0.30758013214397467,0.26975394209907594,0.3395573890837846
1,MRP6,09,0.3250127724808026,0.2851462490932313,0.3681822949487779
1,MRP6,10,0.32605254745891643,0.29230352222333306,0.36484050947612057
1,MRP6,11,0.34403882497158556,0.2942246784356779,0.37838008327622746
1,MRP6,12,0.33516423513020355,0.3041133327687329,0.37530135879451526
1,MRP6,13,0.3425310618770182,0.3064066912194297,0.3770226636581037
1,MRP6,16,0.3072880361818222,0.2659979004320322,0.3505298206382207
1,MRP6,17,0.3339403357464753,0.3014103848853053,0.374268694213264
1,MRP6,18,0.3123553001080076,0.27438609205644576,0.3487201081200868
1,MRP6,19,0.30035185041821777,0.2594863319717224,0.34243850903998274
1,MRP6,20,0.30263259655679575,0.2592621571940235,0.33761279415545764
1,MRP6,21,0.3241051147687233,0.2836177242902129,0.37684642357740883
1,MRP6,22,0.3380233013373827,0.29659455233316956,0.37505353877653574
1,MRP6,23,0.29128778512030523,0.25176561743439135,0.34242710608511373
1,MRP6,24,0.33902547860867577,0.3027473310564496,0.37751585640647006
1,MRP6,25,0.3121306524331586,0.2782494337262995,0.3481715789108067
1,MRP6,26,0.3236565990556015,0.28925334084296617,0.36566945640233955
1,MRP6,27,0.3051179206813809,0.268368858740993,0.3496522172969806
1,MRP6,28,0.3524279494283578,0.3142144240005646,0.4001557450010818
1,MRP6,29,0.3099056567904001,0.2691704673998934,0.34540642232888924
1,MRP6,30,0.2818811042421068,0.2399460892675459,0.3183820573326869
1,MRP6,31,0.3082680765338553,0.2704059035367816,0.3527761021439715
1,MRP6,32,0.3209292102264797,0.28276513753162436,0.3580899577900711
1,MRP6,33,0.2988382287336316,0.26223875894921367,0.3412138296993252
1,MRP6,34,0.336790830785539,0.30252671346026305,0.38072609670287855
1,MRP6,35,0.3387209212376041,0.302567349558469,0.37991397489692885
1,MRP6,36,0.3237847242587918,0.29078166778605097,0.3634479402685248
1,MRP6,37,0.3379696046658081,0.30168005467400416,0.3796190908985283
1,MRP6,38,0.3086097506925132,0.2694001909858058,0.3597539800075707
1,MRP6,39,0.3185489563594374,0.2794720996562329,0.360059966377777
1,MRP6,40,0.32522841139734343,0.28792806868557114,0.36275681453079517
